file,pages,width,height,ext,large_filtered
p01_img01_xref3707.png,1,1177,126,png,True
p01_img02_xref3710.png,1,1229,574,png,True
p01_img03_xref3715.png,1,846,81,png,True
p01_img04_xref3718.png,1,811,81,png,True
p01_img05_xref3721.png,1,924,102,png,True
p02_img01_xref3609.png,2,603,471,png,False
p02_img02_xref3610.png,2,352,407,png,False
p02_img03_xref3611.png,2,357,408,png,False
p02_img04_xref3612.png,2,362,407,png,False
p03_img01_xref3625.png,3,1280,467,png,True
p03_img02_xref3626.png,3,1085,402,png,True
p03_img03_xref3627.png,3,96,42,png,False
p03_img04_xref3628.png,3,2177,830,png,True
p03_img05_xref3629.png,3,131,166,png,False
p03_img06_xref3630.png,3,196,235,png,False
p03_img07_xref3631.png,3,197,250,png,False
p03_img08_xref3632.png,3,197,92,png,False
p03_img09_xref3633.png,3,1632,640,png,True
p03_img10_xref3634.png,3,1476,563,png,True
p05_img01_xref3647.png,5,2784,1536,png,True
p05_img02_xref3648.png,5,2368,1792,png,True
p05_img03_xref3649.png,5,1702,1438,png,True
p05_img04_xref3650.png,5,1920,1080,png,True
p06_img01_xref46.png,6,780,447,png,False
p06_img02_xref47.png,6,515,451,png,False
p06_img03_xref48.png,6,1347,853,png,True
p06_img04_xref49.png,6,1353,1877,png,True
p06_img05_xref50.png,6,4523,543,png,True
p06_img06_xref51.png,6,1004,636,png,True
p06_img07_xref52.png,6,1152,746,png,True
p07_img01_xref91.png,7,856,132,png,True
p07_img02_xref92.png,7,1536,1024,png,True
p07_img03_xref93.png,7,2848,1504,png,True
p07_img04_xref94.png,7,1918,910,png,True
p08_img01_xref159.png,8,510,260,png,False
p08_img02_xref160.png,8,702,361,png,False
p08_img03_xref3082.png,8,558,513,png,False
p08_img04_xref3087.png,8,440,281,png,False
p08_img05_xref3090.png,8,441,281,png,False
p08_img07_xref3096.png,8,441,280,png,False
p08_img13_xref3114.png,8,530,629,png,False
p08_img14_xref3117.png,8,440,280,png,False
p08_img15_xref3120.png,8,548,504,png,False
p08_img16_xref3125.png,8,547,504,png,False
p08_img17_xref3130.png,8,548,504,png,False
p08_img18_xref3135.png,8,547,504,png,False
p08_img19_xref3140.png,8,569,523,png,False
p08_img20_xref3145.png,8,433,399,png,False
p08_img21_xref3148.png,8,196,367,png,False
p08_img22_xref3151.png,8,196,359,png,False
p08_img23_xref3154.png,8,196,367,png,False
p08_img24_xref3157.png,8,196,361,png,False
p08_img25_xref3160.png,8,510,642,png,False
p08_img26_xref3163.png,8,223,367,png,False
p08_img27_xref3166.png,8,193,270,png,False
p08_img28_xref3171.png,8,433,398,png,False
p08_img29_xref3176.png,8,434,399,png,False
p09_img01_xref174.png,9,336,171,png,False
p09_img02_xref175.png,9,792,1014,png,True
p09_img03_xref176.png,9,114,94,png,False
p09_img04_xref177.png,9,74,82,png,False
p09_img05_xref178.png,9,516,646,png,False
p09_img06_xref179.png,9,484,676,png,False
p09_img07_xref180.png,9,513,683,png,False
p09_img08_xref181.png,9,407,592,png,False
p09_img09_xref182.png,9,103,53,png,False
p09_img10_xref183.png,9,1429,1004,png,True
p09_img11_xref184.png,9,1014,833,png,True
p09_img12_xref185.png,9,787,699,png,True
p09_img13_xref186.png,9,1140,799,png,True
p09_img14_xref187.png,9,313,384,png,False
p09_img15_xref188.png,9,250,384,png,False
p09_img16_xref189.png,9,304,195,png,False
p09_img17_xref190.png,9,293,170,png,False
p09_img18_xref191.png,9,749,443,png,False
p09_img19_xref192.png,9,724,415,png,False
p09_img20_xref193.png,9,753,439,png,False
p09_img21_xref194.png,9,312,65,png,False
p09_img22_xref195.png,9,841,587,png,True
p09_img23_xref196.png,9,949,596,png,True
p09_img24_xref197.png,9,1536,631,png,True
p09_img25_xref198.png,9,1469,901,png,True
p09_img26_xref199.png,9,554,694,png,False
p09_img27_xref200.png,9,888,507,png,True
p09_img28_xref201.png,9,1536,748,png,True
p09_img29_xref202.png,9,599,912,png,True
p09_img30_xref203.png,9,1024,747,png,True
p09_img31_xref204.png,9,150,98,png,False
p09_img32_xref205.png,9,250,51,png,False
p09_img33_xref206.png,9,119,33,png,False
p09_img34_xref207.png,9,280,86,png,False
p09_img35_xref208.png,9,218,95,png,False
p10_img01_xref221.png,10,521,570,png,False
p10_img02_xref222.png,10,517,161,png,False
p10_img03_xref223.png,10,864,951,png,True
p10_img04_xref224.png,10,200,60,png,False
p10_img05_xref225.png,10,176,38,png,False
p10_img06_xref226.png,10,152,44,png,False
p10_img07_xref227.png,10,839,506,png,True
p10_img08_xref228.png,10,170,70,png,False
p10_img09_xref229.png,10,930,997,png,True
p10_img10_xref230.png,10,1403,993,png,True
p10_img11_xref231.png,10,580,435,png,False
p10_img12_xref232.png,10,781,1052,png,True
p10_img13_xref233.png,10,997,1408,png,True
p10_img14_xref234.png,10,60,60,png,False
p10_img15_xref235.png,10,380,89,png,False
p10_img16_xref236.png,10,348,102,png,False
p10_img17_xref237.png,10,109,73,png,False
p10_img18_xref238.png,10,324,50,png,False
p10_img19_xref239.png,10,140,138,png,False
p10_img20_xref240.png,10,340,70,png,False
p10_img21_xref241.png,10,1182,1098,png,True
p10_img22_xref242.png,10,1758,1163,png,True
p10_img23_xref243.png,10,164,164,png,False
p10_img24_xref244.png,10,185,86,png,False
p10_img25_xref245.png,10,330,50,png,False
p10_img26_xref246.png,10,886,657,png,True
p10_img27_xref247.png,10,708,565,png,False
p11_img01_xref257.png,11,721,1004,png,True
p11_img02_xref258.png,11,914,583,png,True
p11_img03_xref259.png,11,1035,641,png,True
p11_img04_xref260.png,11,399,291,png,False
p11_img05_xref261.png,11,416,281,png,False
p11_img06_xref262.png,11,780,827,png,True
p11_img07_xref263.png,11,800,455,png,True
p11_img08_xref264.png,11,626,344,png,False
p11_img09_xref265.png,11,626,369,png,False
p11_img10_xref266.png,11,1184,610,png,True
p11_img11_xref267.png,11,1184,864,png,True
p11_img12_xref268.png,11,953,378,png,True
p11_img13_xref269.png,11,296,296,png,False
p11_img14_xref270.png,11,60,27,png,False
p11_img15_xref271.png,11,188,75,png,False
p11_img16_xref272.png,11,56,50,png,False
p11_img17_xref273.png,11,745,980,png,True
p11_img18_xref274.png,11,444,296,png,False
p11_img19_xref275.png,11,316,296,png,False
p11_img20_xref276.png,11,296,296,png,False
p11_img21_xref277.png,11,673,1004,png,True
p11_img22_xref278.png,11,631,894,png,True
p11_img23_xref279.png,11,703,471,png,False
p11_img24_xref280.png,11,535,296,png,False
p12_img01_xref294.png,12,984,1415,png,True
p12_img02_xref295.png,12,1201,867,png,True
p12_img03_xref296.png,12,749,609,png,False
p12_img04_xref297.png,12,653,511,png,False
p12_img05_xref298.png,12,368,118,png,False
p12_img06_xref299.png,12,85,23,png,False
p12_img07_xref300.png,12,152,65,png,False
p12_img08_xref301.png,12,170,70,png,False
p12_img09_xref302.png,12,157,106,png,False
p12_img10_xref303.png,12,666,524,png,False
p12_img11_xref304.png,12,127,75,png,False
p12_img12_xref305.png,12,679,408,png,False
p12_img13_xref306.png,12,725,629,png,False
p12_img14_xref307.png,12,517,334,png,False
p12_img15_xref308.png,12,567,329,png,False
p12_img16_xref309.png,12,398,195,png,False
p12_img17_xref310.png,12,379,190,png,False
p12_img18_xref311.png,12,664,609,png,False
p12_img19_xref312.png,12,674,995,png,True
p12_img20_xref313.png,12,669,996,png,True
p12_img21_xref314.png,12,619,996,png,True
p12_img22_xref315.png,12,678,996,png,True
p12_img23_xref316.png,12,660,996,png,True
p12_img24_xref317.png,12,626,497,png,False
p12_img25_xref318.png,12,303,301,png,False
p12_img26_xref319.png,12,308,419,png,False
p12_img27_xref320.png,12,1022,748,png,True
p12_img28_xref321.png,12,572,606,png,False
p12_img29_xref322.png,12,1023,836,png,True
p12_img30_xref323.png,12,895,705,png,True
p13_img01_xref337.png,13,443,332,png,False
p13_img02_xref338.png,13,250,200,png,False
p13_img03_xref339.png,13,190,55,png,False
p13_img04_xref340.png,13,473,359,png,False
p13_img05_xref341.png,13,474,338,png,False
p13_img06_xref342.png,13,250,200,png,False
p13_img07_xref343.png,13,1189,708,png,True
p13_img08_xref344.png,13,648,993,png,True
p13_img09_xref345.png,13,441,234,png,False
p13_img10_xref346.png,13,270,587,png,False
p13_img11_xref347.png,13,329,587,png,False
p13_img12_xref348.png,13,474,213,png,False
p13_img13_xref349.png,13,190,92,png,False
p13_img14_xref350.png,13,1302,606,png,True
p13_img15_xref351.png,13,757,532,png,False
p13_img16_xref352.png,13,748,532,png,False
p13_img17_xref353.png,13,142,70,png,False
p13_img18_xref354.png,13,130,50,png,False
p13_img19_xref355.png,13,150,26,png,False
p13_img20_xref356.png,13,40,29,png,False
p13_img21_xref357.png,13,137,158,png,False
p13_img22_xref358.png,13,255,236,png,False
p13_img23_xref359.png,13,250,200,png,False
p13_img24_xref360.png,13,228,234,png,False
p13_img25_xref361.png,13,301,96,png,False
p13_img26_xref362.png,13,237,76,png,False
p13_img27_xref363.png,13,494,367,png,False
p13_img28_xref364.png,13,775,661,png,True
